year,file,cluster,value
2002,02120624DN.txt,organizations,African Virtual University President Benjamin Mkapa
2002,02121109DN.txt,organizations,Nairobi University
2002,02121410SA.txt,organizations,University
2002,02121810DN.txt,organizations,Kenyatta University
2002,02122027DN.txt,organizations,University
2002,02122624DN.txt,organizations,Makerere University
2003,03010117DN.txt,organizations,University of Nairobi
2003,03011927DN.txt,organizations,Advanced University
2003,03011927DN.txt,organizations,Nutrition and Advance University Degree in Nutrition
2003,03012110DN.txt,organizations,Rhodes University
2003,03012320DN.txt,organizations,Oxford University
2003,03012320DN.txt,organizations,University
2003,03020611DN.txt,organizations,University of Agriculture
2003,03021202WM.txt,organizations,Moi University
